Date,close,prev_close_1,prev_close_2,prev_close_3,prev_close_4,prev_close_5,prev_close_6,prev_close_7,prev_close_8,prev_close_9,prev_close_10,prev_close_11,prev_close_12,prev_close_13,prev_close_14,prev_close_15,prev_close_16,prev_close_17,prev_close_18,prev_close_19,prev_close_20,Decayed_Compound,pct
2006-01-31,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,1285.449951171875,1273.47998046875,1273.4599609375,1268.800048828125,1248.2900390625,-0.4767,-0.003976054579116277
2006-02-01,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,1285.449951171875,1273.47998046875,1273.4599609375,1268.800048828125,-0.467166,0.0018592626746128204
2006-02-02,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,1285.449951171875,1273.47998046875,1273.4599609375,-0.45782268,-0.009060707913791778
2006-02-03,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,1285.449951171875,1273.47998046875,-0.4486662264,-0.00535861060919796
2006-02-06,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,1285.449951171875,-0.42228106295786877,0.0007832015153355879
2006-02-07,1254.780029296875,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,1290.1500244140625,-0.4138354416987114,-0.008094725835381959
2006-02-08,1265.6500244140625,1254.780029296875,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,1289.68994140625,-0.40555873286473715,0.008662869079354554
2006-02-09,1263.780029296875,1265.6500244140625,1254.780029296875,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,1294.1800537109375,-0.39744755820744243,-0.0014774977925301439
2006-02-10,1266.989990234375,1263.780029296875,1265.6500244140625,1254.780029296875,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,1286.06005859375,-0.38949860704329353,0.0025399680823298934
2006-02-13,1262.8599853515625,1266.989990234375,1263.780029296875,1265.6500244140625,1254.780029296875,1265.02001953125,1264.030029296875,1270.8399658203125,1282.4599609375,1280.0799560546875,1285.18994140625,1283.719970703125,1273.8299560546875,1264.6800537109375,1266.8599853515625,1263.8199462890625,1261.489990234375,1285.0400390625,1277.9300537109375,1282.9300537109375,1287.6099853515625,-0.3665929729602915,-0.003259698114938152
